id,name,date,value,fill,colour
MANU,Manchester United,2021/05/17,123630599,#D8352A,white
CHEL,Chelsea,2021/05/17,79194266,#fbd14b,#3d3c3b
ARS,Arsenal,2021/05/17,67547138,#fbd14b,#3d3c3b
LIV,Liverpool,2021/05/17,65250178,#fbd14b,#3d3c3b
MANC,Manchester City,2021/05/17,59107565,#fbd14b,#3d3c3b
TOT,Tottenham,2021/05/17,20600448,#fbd14b,#3d3c3b
LEI,Leicester,2021/05/16,10965016,#fbd14b,#3d3c3b
EVE,Everton,2021/05/17,6090040,#fbd14b,#3d3c3b
WES,West Ham,2021/05/16,4750968,#fbd14b,#3d3c3b
SOU,Southampton,2021/05/16,4750548,#fbd14b,#3d3c3b
AST,Aston Villa,2021/05/17,4535732,#fbd14b,#3d3c3b
NEW,Newcastle United,2021/05/17,3919440,#fbd14b,#3d3c3b
CRY,Crystal Palace,2021/05/17,2604853,#fbd14b,#3d3c3b
WAT,Watford,2021/05/17,2211666,#fbd14b,#3d3c3b
WOL,Wolves,2021/05/17,1903766,#fbd14b,#3d3c3b
NOR,Norwich City,2021/05/17,1574975,#fbd14b,#3d3c3b
BOU,Bournemouth,2021/05/16,1257182,#fbd14b,#3d3c3b
BUR,Burnley,2021/05/17,1083407,#fbd14b,#3d3c3b
BRI,Brighton,2021/05/16,723919,#fbd14b,#3d3c3b
SHE,Sheffield United,2021/05/16,504295,#fbd14b,#3d3c3b
