id,name,date,value,fill,colour
Arsenal,Mesut Özil,2021/05/17,"76,052,046",#fbd14b,#3d3c3b
Arsenal,David Luiz,2021/05/17,"52,514,607",#fbd14b,#3d3c3b
Liverpool,Mohamed Salah,2021/05/17,"52,449,694",#fbd14b,#3d3c3b
Manchester United,Paul Pogba,2021/05/17,"51,086,405",#fbd14b,#3d3c3b
Manchester City,Sergio Agüero,2021/05/17,"36,237,312",#fbd14b,#3d3c3b
Manchester United,David de Gea,2021/05/17,"29,897,847",#fbd14b,#3d3c3b
Manchester United,Juan Mata,2021/05/16,"22,192,151",#fbd14b,#3d3c3b
Chelsea,Willian,2021/05/17,"18,701,481",#fbd14b,#3d3c3b
Manchester United,Alexis Sanchez,2021/05/16,"17,746,800",#fbd14b,#3d3c3b
Chelsea,Pedro,2021/05/16,"15,674,935",#D8352A,white
Manchester City,Gabriel Jesus,2021/05/17,"15,341,551",#fbd14b,#3d3c3b
West Ham,Chicharito,2021/05/17,"14,200,000",#fbd14b,#3d3c3b
Manchester City,Kevin De Bruyne,2021/05/17,"13,871,111",#fbd14b,#3d3c3b
Tottenham,Harry Kane,2021/05/17,"13,233,914",#fbd14b,#3d3c3b
Liverpool,Roberto Firmino,2021/05/17,"11,746,259",#fbd14b,#3d3c3b
Tottenham,Lucas Moura,2021/05/17,"10,693,754",#fbd14b,#3d3c3b
Arsenal,Pierre-Emerick Aubameyang,2021/05/16,"10,665,054",#fbd14b,#3d3c3b
Manchester United,Marcus Rashford,2021/05/17,"9,813,477",#fbd14b,#3d3c3b
Manchester City,Raheem Sterling,2021/05/16,"9,756,996",#fbd14b,#3d3c3b
West Ham,Jack Wilshere,2021/05/17,"9,610,769",#fbd14b,#3d3c3b
Liverpool,Alex Oxlade-Chamberlain,2021/05/17,"9,545,566",#fbd14b,#3d3c3b
Manchester United,Jesse Lingard,2021/05/15,"8,850,956",#fbd14b,#3d3c3b
Everton,Theo Walcott,2021/05/17,"8,715,217",#fbd14b,#3d3c3b
Arsenal,Mohamed Elneny,2021/05/17,"8,550,951",#fbd14b,#3d3c3b
Manchester United,Anthony Martial,2021/05/17,"8,418,061",#fbd14b,#3d3c3b
Tottenham,Dele Alli,2021/05/17,"8,198,451",#fbd14b,#3d3c3b
Manchester City,Claudio Bravo,2021/05/17,"8,133,680",#fbd14b,#3d3c3b
Chelsea,N'Golo Kanté,2021/05/16,"8,003,554",#fbd14b,#3d3c3b
Arsenal,Henrikh Mkhitaryan,2021/05/16,"7,638,182",#fbd14b,#3d3c3b
Manchester City,David Silva,2021/05/17,"7,601,358",#fbd14b,#3d3c3b
Manchester City,Riyad Mahrez,2021/05/17,"7,542,294",#fbd14b,#3d3c3b
Chelsea,César Azpilicueta,2021/05/17,"7,474,901",#fbd14b,#3d3c3b
Liverpool,Alisson,2021/05/17,"7,315,657",#fbd14b,#3d3c3b
Manchester United,Ashley Young,2021/05/17,"7,189,778",#fbd14b,#3d3c3b
Wolves,Raúl Jiménez,2021/05/17,"6,612,837",#fbd14b,#3d3c3b
Manchester City,Leroy Sané,2021/05/17,"6,551,405",#fbd14b,#3d3c3b
Aston Villa,Trezeguet,2021/05/17,"6,209,239",#fbd14b,#3d3c3b
Manchester City,Ilkay Gündogan,2021/05/14,"6,113,886",#fbd14b,#3d3c3b
Liverpool,Virgil van Dijk,2021/05/17,"6,100,000",#fbd14b,#3d3c3b
Manchester United,Chris Smalling,2021/05/17,"6,043,370",#fbd14b,#3d3c3b
Chelsea,Mateo Kovacic,2021/05/13,"5,874,607",#fbd14b,#3d3c3b
Manchester United,Luke Shaw,2021/05/17,"5,492,609",#fbd14b,#3d3c3b
Liverpool,Xherdan Shaqiri,2021/05/12,"5,422,860",#fbd14b,#3d3c3b
Manchester United,Phil Jones,2021/05/17,"5,403,973",#fbd14b,#3d3c3b
Arsenal,Héctor Bellerín,2021/05/13,"5,305,102",#fbd14b,#3d3c3b
Liverpool,Sadio Mané,2021/05/16,"5,143,652",#fbd14b,#3d3c3b
Crystal Palace,Gary Cahill,2021/05/17,"5,105,563",#fbd14b,#3d3c3b
Liverpool,Jordan Henderson,2021/05/15,"5,069,975",#fbd14b,#3d3c3b
Chelsea,Michy Batshuayi,2021/05/16,"5,039,219",#fbd14b,#3d3c3b
