grant_title,position,id,organization,total_amount,group,Grant start date,start_month,start_day,start_year
Brad Smith,Left-Back,20,AFC Bournemouth,3600000,medium,5/1/18,5,1,2018
Brice Dja Djedje,Defensive Midfield,21,Watford FC,3600000,medium,5/1/18,5,1,2018
Takuma Asano,Left Winger,28,Arsenal FC,4000000,medium,5/1/18,5,1,2018
Younes Kaboul,Centre-Back,31,Watford FC,4000000,medium,5/1/18,5,1,2018
David Marshall,Goalkeeper,41,Hull City,4100000,medium,5/1/18,5,1,2018
Luciano Narsingh,Right Winger,46,Swansea City,4600000,medium,5/1/18,5,1,2018
Martin Olsson,Left-Back,47,Swansea City,4600000,medium,5/1/18,5,1,2018
Gero Rulli,Goalkeeper,48,Manchester City,4700000,medium,5/1/18,5,1,2018
Alex McCarthy,Goalkeeper,49,Southampton FC,4700000,medium,5/1/18,5,1,2018
Allan Nyom,Right-Back,50,West Bromwich Albion,4700000,medium,5/1/18,5,1,2018
Jonathan Calleri,Centre-Forward,51,West Ham United,4700000,top5,5/1/18,5,1,2018
Bartosz Kapustka,Attacking Midfield,52,Leicester City,5000000,top5,5/1/18,5,1,2018
Ragnar Klavan,Centre-Back,53,Liverpool FC,5000000,medium,5/1/18,5,1,2018
Viktor Fischer,Left Winger,54,Middlesbrough FC,5000000,medium,5/1/18,5,1,2018
Ramadan Sobhi,Left Winger,56,Stoke City,5000000,medium,5/1/18,5,1,2018
Simone Zaza,Centre-Forward,59,West Ham United,5000000,top5,5/1/18,5,1,2018
Adlene Guedioura,Central Midfield,60,Middlesbrough FC,5200000,medium,5/1/18,5,1,2018
Tom Carroll,Central Midfield,61,Swansea City,5200000,medium,5/1/18,5,1,2018
Paddy McNair,Centre-Back,62,Sunderland AFC,5250000,medium,5/1/18,5,1,2018
Markus Henriksen,Central Midfield,63,Hull City,5300000,medium,5/1/18,5,1,2018
Marlos Moreno,Right Winger,65,Manchester City,5500000,high,5/1/18,5,1,2018
Patrick Bamford,Centre-Forward,75,Middlesbrough FC,6900000,high,5/1/18,5,1,2018
Christian Kabasele,Centre-Back,76,Watford FC,6950000,high,5/1/18,5,1,2018
Arthur Masuaku,Left-Back,77,Leicester City,7100000,top5,5/1/18,5,1,2018
Idrissa Gueye,Defensive Midfield,82,Leicester City,8250000,top5,5/1/18,5,1,2018
Adama Traore,Right Winger,83,Leicester City,8250000,top5,5/1/18,5,1,2018
Steven Defour,Defensive Midfield,84,Leicester City,8600000,top5,5/1/18,5,1,2018
Ademola Lookman,Left Winger,86,Leicester City,8800000,top5,5/1/18,5,1,2018
Daryl Janmaat,Centre-Back,87,Leicester City,8900000,top5,5/1/18,5,1,2018
Sven Kums,Central Midfield,89,Arsenal FC,9000000,high,5/1/18,5,1,2018
Kamil Grosicki,Left Winger,91,Sunderland AFC,9000000,high,5/1/18,5,1,2018
Jose Fonte,Centre-Back,92,Watford FC,9200000,high,5/1/18,5,1,2018
Papy Djilobodji,Centre-Back,93,Burnley FC,9500000,high,5/1/18,5,1,2018
Patrick van Aanholt,Left-Back,98,Crystal Palace F.C.,10500000,high,5/1/18,5,1,2018
Alexis S‡nchez,Centre-Forward,120,Manchester United,34000000,manu,5/1/18,5,1,2018
